a,a_incidences,á,á_incidences,å,å_incidences,ä,ä_incidences,à,à_incidences,â,â_incidences,æ,æ_incidences,ã,ã_incidences,b,b_incidences,c,c_incidences,ç,ç_incidences,č,č_incidences,ć,ć_incidences,d,d_incidences,đ,đ_incidences,ď,ď_incidences,e,e_incidences,é,é_incidences,è,è_incidences,f,f_incidences,g,g_incidences,h,h_incidences,i,i_incidences,í,í_incidences,j,j_incidences,k,k_incidences,l,l_incidences,ł,ł_incidences,ľ,ľ_incidences,m,m_incidences,n,n_incidences,ñ,ñ_incidences,ň,ň_incidences,o,o_incidences,ö,ö_incidences,ø,ø_incidences,ó,ó_incidences,ő,ő_incidences,õ,õ_incidences,ð,ð_incidences,p,p_incidences,q,q_incidences,r,r_incidences,ř,ř_incidences,s,s_incidences,ş,ş_incidences,š,š_incidences,ș,ș_incidences,ś,ś_incidences,t,t_incidences,ţ,ţ_incidences,þ,þ_incidences,ț,ț_incidences,ť,ť_incidences,u,u_incidences,ü,ü_incidences,ú,ú_incidences,ū,ū_incidences,v,v_incidences,w,w_incidences,x,x_incidences,y,y_incidences,z,z_incidences,ž,ž_incidences,ż,ż_incidences
Ali,"30,848,591",Ács,"11,937",Åberg,"11,036",Äger,"7,323",À Porta,155,Ângelo,"25,852",Ævarsdóttir,163,Ãshaikh,23,Bai,"9,907,044",Chen,"74,775,602",Çelik,"639,467",Černá,"19,865",Ćirić,"16,338",Devi,"71,061,794",Đorđević,"92,323",Ďuriš,"2,902",Ei,"1,241,312",Éles,"2,518",Èvora,31,Feng,"9,447,690",Guo,"16,483,470",Huang,"36,502,161",Islam,"11,760,270",Ívarsdóttir,234,Jiang,"16,530,844",Kumar,"31,770,645",Li,"104,892,114",Łuczak,133,Ľupták,663,Ma,"21,354,561",Nguyen,"24,618,203",Ñañez,"11,003",Ňaňko,80,Oliveira,"2,728,803",Öztürk,"563,869",Østergaard,"4,942",Ódor,"3,366",Őri,"2,850",Õunapuu,538,Ðekić,221,Peng,"8,332,167",Qiu,"5,015,404",Rodriguez,"9,213,157",Říhová,"5,503",Singh,"35,720,844",Şahin,"636,982",Šimková,"10,951",Șerban,"8,004",Świątek,120,Tang,"12,776,913",Ţurcanu,657,Þorsteinsson,"1,326",Țugui,625,Ťapák,239,Uddin,"3,958,855",Ünal,"184,208",Újvári,"1,603",Ūsienė,437,Vu,"2,302,908",Wang,"107,002,577",Xu,"31,077,530",Yang,"47,658,905",Zhang,"97,975,341",Živković,"60,745",Żak,155
Ahmed,"16,043,515",Ádám,"10,650",Åström,"8,657",Äijälä,"1,113",Ààà,56,Ângela,128,Ægisdóttir,159,Ãwagh,18,Bibi,"5,981,894",Cao,"9,129,753",Çetin,"321,740",Černý,"18,233",Ćosić,"13,984",da Silva,"13,300,564",Đurić,"37,671",Ďurišová,"2,569",Espinoza,"1,116,785",Évora,"2,331",Èýôèôñ,28,Fan,"7,437,416",Gao,"14,498,343",He,"18,764,180",Ibrahim,"8,456,886",Ívarsson,181,Jin,"6,307,824",Khan,"22,854,524",Liu,"74,139,464",Łukasik,100,Ľuptáková,606,Maung,"19,729,446",Niu,"2,137,039",Ñahui,"4,514",Ňuňuk,71,Ortiz,"2,306,300",Özdemir,"523,285",Ødegård,"4,633",Ólafsson,"3,347",Ősz,"1,012",Õun,457,Ðorðić,107,Pan,"8,016,289",Qin,"4,039,556",Rahman,"7,835,269",Říha,"5,125",Sun,"19,702,918",Şimşek,"231,489",Šimić,"8,783",Ștefan,"7,129",Śliwa,78,Tan,"10,017,487",Ţuţuianu,433,Þorsteinsdóttir,"1,323",Țurcanu,618,Ťažká,238,Usman,"2,431,925",Ünlü,"80,493",Újhelyi,600,Ūsas,338,Vargas,"2,149,965",Wu,"35,112,871",Xie,"11,214,109",Yu,"19,083,843",Zhao,"28,365,366",Živanović,"26,864",Żurek,107
Akter,"14,520,339",Álvarez,"7,547",Åkesson,"8,608",Äikäs,808,Àlvarez,38,Âåíû,119,Ægidius,142,Ãwalavalkar,5,Begum,"5,345,286",Ceng,"8,531,955",Çakir,"222,464",Čolić,"10,923",Ćurčić,"8,122",Das,"12,401,897",Đokić,"26,135",Ďurica,"1,536",Emmanuel,"957,580",Érsek,"1,731",Ètefan,11,Fu,"7,188,633",Garcia,"10,671,483",Hu,"16,960,671",I,"7,588,136",Ísleifsdóttir,95,Jia,"4,665,311",Kim,"18,794,063",Lu,"21,328,039",Łukasiewicz,74,Ľalík,191,Mohamed,"12,136,699",Nayak,"2,098,397",Ñaupa,"4,501",Ňachajová,68,Osman,"2,107,287",Özkan,"240,734",Ødegaard,"2,573",Ólafsdóttir,"3,093",Őze,862,Õispuu,290,Ðulić,98,Perez,"7,748,127",Qi,"3,625,047",Ram,"7,316,976",Řezníčková,"3,049",Shi,"11,390,893",Şen,"210,349",Šarić,"8,316",Ștefănescu,"1,442",Ślusarczyk,78,Tran,"8,095,261",Ţepeş,371,Þórðardóttir,935,Țăranu,400,Ťažký,237,Ullah,"2,269,910",Ünsal,"40,020",Úradník,332,Ūlienė,102,Vo,"1,766,860",Wei,"12,153,338",Xiao,"8,115,645",Yan,"9,666,674",Zhou,"27,202,776",Žukauskienė,"7,257",Żmuda,75
Ahmad,"9,712,807",Ábrahám,"6,362",Ågren,"5,097",Äijö,418,Àvila,35,Âåí,55,Ægisson,139,Ãwani,5,Bakhash,"3,179,510",Cai,"8,207,082",Çiftçi,"143,207",Čermáková,"9,091",Ćorić,"7,413",Deng,"9,953,614",Đukić,"23,139",Ďuricová,"1,320",Estrada,"855,980",Éliás,"1,689",Èýôèôýñ,11,Ferreira,"5,705,636",Gonzalez,"8,758,484",Han,"10,833,230",Iqbal,"2,555,321",Ísleifsson,84,Ji,"4,010,974",Khatun,"15,636,656",Lin,"18,909,435",Łukaszewicz,71,Ľahký,150,Mohammad,"10,078,970",Ni,"1,989,657",Ñanco,"3,943",Ňachaj,67,O,"1,853,071",Özcan,"230,894",Øien,"2,170",Ónodi,"2,661",Őszi,760,Õunpuu,245,Ðopa,49,Pereira,"6,667,041",Qian,"2,703,335",Ren,"5,807,973",Řezníček,"2,963",Song,"11,305,728",Şentürk,"74,333",Šimek,"8,311",Ștețco,822,Śliwińska,65,Tian,"7,277,786",Ţugui,343,Þórðarson,817,Țone,321,Ťapáková,232,Umar,"2,091,139",Üstün,"35,567",Úradníková,322,Ūlia,82,Vieira,"1,711,926",Wen,"4,840,436",Xia,"4,558,031",Yuan,"7,886,091",Zhu,"19,737,904",Živić,"6,141",Żukowski,74
Alves,"5,178,023",Álvaro,"6,059",Åkerlund,"3,975",Ämmälä,373,À Wengen,32,Âmbar,30,Ævarsson,132,Ãlvarez,4,Biswas,"2,966,143",Cheng,"7,910,012",Çiçek,"141,753",Čermák,"8,484",Ćirković,"6,704",dos Santos,"8,012,090",Đurđević,"19,928",Ďurina,948,Escobar,"848,647",Ésik,"1,040",Ègue,10,Fang,"5,322,635",Gu,"4,835,026",Hernandez,"9,229,149",Ismail,"2,263,116",Ísaksdóttir,75,Johnson,"3,080,776",Kaur,"9,624,267",Luo,"14,714,385",Łapiński,52,Ľachký,121,Martinez,"8,714,267",Nie,"1,701,671",Ñaupari,"3,347",Ňaršanský,52,Omar,"1,736,629",Özer,"179,961",Østby,"2,148",Óvári,"2,431",Ősze,517,Õunap,177,Ðogić,44,Pak,"6,302,782",Qu,"2,536,983",Ray,"5,025,343",Řezáčová,"2,187",Su,"7,767,681",Şeker,"72,338",Ševčíková,"7,746",Șandru,771,Świderska,62,Torres,"3,657,507",Ţăranu,335,Þórarinsdóttir,635,Țuțuianu,305,Ťupová,152,Umaru,"535,766",Ülker,"29,494",Úlehlová,290,Ūtienė,37,Vazquez,"1,650,325",Wan,"3,087,347",Xiong,"4,248,090",Yadav,"7,769,444",Zheng,"13,686,035",Žáková,"5,836",Żukowska,68
Abdul,"4,479,638",Ágoston,"5,853",Åslund,"2,485",Ädel,342,À,28,Âåíúú,20,Ælmholdt,72,Ãwadhwa,4,Brown,"2,599,112",Cui,"5,434,667",Çoban,"141,507",Čech,"7,100",Ćurić,"4,360",Dong,"7,326,023",Đurović,"8,465",Ďurinová,781,Evans,"832,105",Élő,"1,012",Èâèâû,9,Flores,"3,824,179",Gomez,"4,814,521",Hassan,"8,860,929",Ilunga,"1,375,486",Ísaksson,52,Jimenez,"2,977,405",Kumari,"6,750,503",Liang,"12,514,040",Łapińska,46,Ľochová,115,Mohammed,"6,090,697",Naik,"1,563,666",Ñiquen,"1,888",Ňaňková,47,Ouedraogo,"1,721,248",Öz,"105,858",Øverland,"1,513",Óskarsson,"1,233",Őzse,321,Õis,100,Ðonlagić,42,Patel,"4,847,640",Qiao,"1,832,623",Ramirez,"4,964,971",Řezáč,"2,090",Sanchez,"6,704,777",Şener,"56,882",Švec,"7,676",Știrbu,687,Świderski,60,Tao,"3,025,900",Ţigănuş,315,Þórisdóttir,571,Țîrlea,253,Ťažár,128,Udo,"367,266",Ünver,"28,118",Úlehla,268,Ūselis,36,Vasquez,"1,642,311",Williams,"2,951,419",Xue,"3,740,699",Ye,"7,320,967",Zhong,"6,326,704",Žukauskas,"5,663",Żuk,58
Alam,"4,207,732",Árvai,"5,606",Åkerman,"2,357",Ärväs,340,Ààà Ààààà,12,Âmoussa,10,Æby,56,Ãwadikar,4,Begam,"2,513,291",Choe,"4,012,121",Çalişkan,"140,308",Čechová,"7,023",Ćatić,"4,199",Du,"6,680,846",Đuričić,"6,321",Ďurčová,673,Edwards,"734,318",Éder,943,Èýôúñú,4,Fernandez,"3,449,007",Gong,"3,884,206",Hussain,"8,817,594",Ito,"1,267,631",Índio,48,Jones,"2,581,407",Kang,"4,877,796",Lopez,"8,983,626",Łukasz,44,Ľahká,114,Muhammad,"5,854,495",Ngo,"1,485,291",Ñancucheo,"1,603",Ňakat,35,Ou,"1,663,139",Özen,"97,199",Økland,"1,466",Óskarsdóttir,"1,198",Őz,292,Õim,92,Ðurašinović,41,Pham,"4,777,723",Qasim,"960,965",Rodrigues,"4,469,009",Řeháková,"2,018",Silva,"5,875,328",Şengül,"52,368",Šabani,"7,517",Șchiopu,648,Śliwiński,59,Traore,"2,424,789",Ţene,239,Þórisson,542,Țîru,213,Ťažiar,123,Ueda,"357,770",Üstündağ,"16,841",Új,224,Ūsaitė,32,Vega,"1,129,203",Wilson,"1,701,599",Xiang,"3,175,888",Yao,"6,597,673",Zou,"4,240,325",Žilinskienė,"5,439",Żebrowski,56
An,"3,294,274",Álvares,"5,385",Åsberg,"2,250",Äng,284,Àlvaro,10,Âmtweve,9,Æbelø,55,Ãwahane,4,Bao,"2,423,210",Chang,"3,834,963",Çakmak,"132,893",Čaušević,"6,078",Ćirović,"3,565",Ding,"6,223,013",Đoković,"5,799",Ďurík,604,Eze,"690,023",Ézsiás,689,Èerban,3,Fernandes,"2,259,074",Ghosh,"3,865,834",Hossain,"7,046,868",Ivanova,"1,215,282",Íñiguez,44,John,"2,241,143",Kong,"2,965,361",Le,"7,542,572",Łach,41,Ľalíková,102,Mandal,"5,462,672",Nawaz,"1,434,198",Ñustes,"1,455",Ňaršanská,35,Ortega,"1,327,950",Özçelik,"81,737",Øyen,"1,360",Ócsai,"1,112",Őrsi,264,Õismaa,88,Ðurić,33,Prasad,"4,101,472",Quispe,"817,279",Ramos,"3,544,553",Řehák,"1,899",Sharma,"5,297,582",Şenol,"40,731",Ševčík,"7,380",Șandor,448,Ślęzak,50,Thomas,"2,243,872",Ţurlea,232,Þórarinsson,538,Țenea,209,Ťažárová,122,Ur Rehman,"330,733",Ülger,"13,869",Újszászi,219,Ūzienė,31,Velasquez,"861,795",Watanabe,"1,391,584",Xing,"2,135,743",Yin,"6,056,198",Zhan,"2,036,611",Žák,"5,431",Żyła,53
Allah,"3,106,114",Ávila,"2,778",Åman,"2,163",Ängeslevä,231,À Porta-Brunner,8,Ângailo,9,Æsøy,52,Ãwalawalkar,4,Bi,"2,317,225",Cruz,"3,580,273",Çinar,"123,446",Čović,"5,001",Ćetković,"3,562",Dai,"4,941,711",Đaković,"5,738",Ďatko,594,Elias,"674,764",Édes,626,Ètirbu,3,Francisco,"1,048,257",Gomes,"3,761,492",Hong,"4,544,123",Ivanov,"1,190,213",Ísberg,42,Joseph,"2,132,193",Khatoon,"2,730,067",Lal,"6,087,364",Łukasiak,41,Ľach,98,Meng,"4,965,989",Nath,"1,341,688",Ñique,"1,280",Ňukovič,30,Ouattara,"1,164,012",Özmen,"73,806",Øvrebø,"1,199",Ótos,576,Őry,239,Õigus,73,Ðiver,24,Patil,"3,705,743",Quan,"731,589",Ri,"3,363,006",Řehořová,"1,087",Shah,"5,123,665",Şanli,"40,332",Švecová,"7,066",Șimon,395,Śpiewak,49,Tong,"2,156,251",Ţenea,206,Þorvaldsdóttir,507,Țăran,208,Ťapaj,120,Ugwu,"310,898",Üzüm,"11,384",Újházi,210,Ūselienė,23,Valencia,"809,407",White,"1,176,396",Xin,"1,088,015",Yi,"2,456,163",Zhuang,"1,951,026",Žagar,"5,359",Żebrowska,50
Abdullahi,"3,045,828",Árva,"2,188",Åkerblom,"2,097",Äijänen,169,Àngel,8,Âmaman,7,Ærenlund,52,Ãwankhede,4,Bui,"2,043,143",Chong,"2,860,569",Çetinkaya,"114,292",Čolović,"4,985",Ćulibrk,"3,395",Diaz,"4,355,864",Đukanović,"5,572",Ďuríková,545,Espinosa,"588,070",Énekes,553,Èýñèñíèí,3,Franco,"979,085",Gupta,"3,011,869",Hou,"4,316,647",Issa,"1,160,425",Író,34,Jadhav,"2,062,159",Khaled,"1,975,841",Liao,"5,530,093",Ławniczak,38,Ľoch,84,Mondal,"4,959,861",Ngoy,"1,339,364",Ñahuincopa,"1,264",Ňarjaš,29,Ou yang,"939,249",Özel,"66,228",Øverby,"1,010",Ómarsdóttir,558,Ősi,228,Õnnis,54,Ðo,15,Pal,"3,141,817",Quintero,"642,643",Reyes,"3,076,506",Řehoř,"1,074",Sah,"4,602,000",Şahan,"38,577",Šabić,"6,917",Șipoș,283,Śliwka,46,Thakur,"1,955,730",Ţudic,204,Þorvaldsson,490,Țigănilă,204,Ťažiarová,93,U,"304,354",Üner,"11,181",Úlfarsson,201,Ūdre,12,Vasav,"793,673",Weng,"1,163,828",Xi,"774,021",You,"2,002,369",Zuo,"1,396,593",Žilinskas,"4,567",Żurawski,50
